G2_0_1,B1949|B781,B608|B605|B606
G4_2_3,B561|B1646|B1661|B1657|B1659|B608|B1658|B605|B1668|B1647|B1645,B1831|B658|B781
G6_4_5,,B561
G8_6_7,B1673,B687|B1283|B1282|B1279|B686
G10_8_9,B687|B882|B1283|B1665|B1672|B686,
G13_11_12,B1950,
G15_13_14,B1693|B1675|B1678|B1497|B1674|B1496|B1692|B1676,B1842
G17_15_16,B1688,
G19_17_18,B1691|B1689|B1677|B1687|B1842|B1683,B904|B1671|B1547|B884|B1831|B1561|B1282|B796|B1279|B799|B606|B398|B12|B658|B21|B792|B630|B400
G20_10_19,,B882|B710|B800
G23_21_22,B1545|B1552,
G25_23_24,B1554|B1550|B1543|B1546|B1943|B1542,B710
G27_25_26,B561|B1566,B1671|B882|B884|B2005
G29_27_28,,B561|B658
G32_30_31,B657|B2002|B2003|B2007|B2001|B1999,B1671|B882|B884
G35_33_34,B2009|B2016|B2010|B2013|B2012|B2008,B1831|B658
G36_32_35,B2000,B710|B1547|B398|B400
G37_29_36,B1556|B2005|B1558|B1563,B904|B1282|B1279|B606|B762
G38_20_37,B1671|B1547|B1831|B1561,B657|B687|B1283
G41_39_40,,B882|B884
G43_41_42,B738|B713|B741|B805|B1866,B1741|B710
G45_43_44,,B687|B686
G47_45_46,B714|B1868|B740|B686|B716,
G50_48_49,B1960|B1961|B1962|B1959|B1964|B630,B1741|B710|B803
G52_50_51,,B687|B882|B884|B1283|B1282|B1279|B630
G53_47_52,B1741|B793|B817|B810|B803,B904|B606
G54_38_53,B796|B799|B398|B800|B658|B21|B792|B400,B608|B605
G57_55_56,B1597,B657|B510|B658
G59_57_58,B1583|B1595|B1610|B1945|B1575|B1577|B1598|B1944|B1591|B1592,
G61_59_60,B491,B630
G63_61_62,B657|B1578|B658|B1608,B687|B491|B686
G65_63_64,B1602|B1605|B1593|B1594|B2029|B1588|B1601|B1607|B1617|B1603|B1580|B686,B904|B657|B882|B710|B884|B1283|B1282|B1279
G66_54_65,,B1848|B658
G68_66_67,B1848,B1796|B1720|B1766|B647|B645|B2018|B686|B919
G71_69_70,B522,B561|B563
G73_71_72,B955|B1885|B1889|B1877|B1872|B1887|B1882|B990|B1888|B966|B969|B1883|B1884|B992|B1875|B1880|B1873,B1715|B1714|B1720|B888|B1725|B917|B1707|B889|B1722|B522|B1704|B1719|B1705|B1709|B1721|B1708
G75_73_74,B974|B1734|B1714|B976|B973|B963|B983|B917|B993|B978|B1702|B873|B1708,B1312|B911|B1315|B913|B910
G77_75_76,B957|B1735|B998|B1312|B1886|B1722|B1001|B1874|B1721,B1955|B1958
G79_77_78,B1289|B1725|B1315|B1288|B1697|B964,B1796|B1855|B1766|B937|B2023
G82_80_81,B1289|B1877|B1872|B1871|B1869|B1874|B1875|B1288|B1873|B1697,B50|B917|B911|B913
G84_82_83,B927|B828|B839|B897|B929|B915|B908|B840|B914|B916|B838|B922|B928,B1735|B1734|B1738|B983
G86_84_85,B1735|B1734|B1714|B976|B983|B917|B978|B936|B873|B1708|B818,B1715|B2029|B1855|B2027
G88_86_87,B2029|B2027,B1958|B710|B1707|B1704|B1705
G90_88_89,B1738|B871,B1955|B1720|B1719
G91_79_90,B1715|B858|B949|B1958|B888|B946|B1707|B1283|B854|B836|B987|B835|B911|B860|B856|B889|B1704|B398|B913|B820|B1705|B1728|B939|B865|B910|B400,B1852|B1851
G93_91_92,B1955|B894|B866|B893|B1855|B938|B1852|B940|B859|B857|B1282|B937|B1279|B21|B1851|B1709|B1731,B2018
G95_93_94,B1732|B944|B945|B947|B855|B1719|B951|B2023,B1283|B1282|B1279
G96_68_95,B773|B781,
G98_96_97,B2018|B431,B1992|B1865|B497|B1845|B583|B585|B692|B547
G101_99_100,,
G103_101_102,B1864|B919,B1289|B1288|B1697
G105_103_104,B412|B634,B703|B710|B1725
G107_105_106,B411|B384|B410|B392|B1861,B1952|B919
G109_107_108,B598|B383|B1725|B398|B611|B407,B687|B1282|B1865|B686|B692
G112_110_111,,B687|B608|B605|B606|B686|B692
G114_112_113,B671|B676|B683|B606|B673|B702|B674,B1283|B1282|B650|B1279|B647|B649|B645|B583|B403
G116_114_115,B1279|B685,B882|B884|B1486|B1863|B1952|B919
G118_116_117,B882|B1486|B680,B606
G120_118_119,B884|B1283|B679|B681|B695,
G121_109_120,B1289|B450|B388|B703|B402|B389|B662|B471|B1863|B636|B650|B649|B645|B667|B1952|B409|B1288|B1697|B403|B400,B882|B884|B1283|B1279|B1845
G123_121_122,B592|B510|B1283|B495|B491|B569|B668|B21|B456|B431,B2247|B2235|B1992|B2239|B2469|B2387|B2175
G126_124_125,B2433|B973|B2425|B2424|B2432,B630
G128_126_127,B2223|B2233|B2265|B2253|B2222|B2214|B2268|B2257|B2241|B2240|B2255|B2251|B2228|B2254|B2232|B2252,B2363|B1865|B2355|B2365|B2358
G130_128_129,B2239|B2264|B2234|B2272,B2469
G132_130_131,B1735|B2224|B2260|B2040|B2242|B2355|B2358|B2244|B2221,B2239
G134_132_133,B2271|B2243|B2220|B2428|B2266|B2263|B2230|B592|B1068|B2363|B2219|B2245|B2365|B630,B1955|B1992|B2387|B585|B781
G136_134_135,B1955|B2258|B510|B2259|B2246|B781,B499|B608|B50|B477|B442|B605|B1282|B467|B1279|B647|B444|B606|B497|B1845|B480|B479|B476|B436|B630|B692|B433|B919
G137_123_136,B2247|B2235|B594|B2239|B2469|B2387|B2175,B1796|B904|B1720|B510|B1283|B1766|B491|B645|B12|B456|B762
G138_98_137,B561,B1765|B21|B1859|B1860|B1967
G141_139_140,B1318,B1456|B1460|B1799|B647|B645
G143_141_142,B1298|B1262|B687|B1249|B1320|B1296|B1287|B1290|B1286|B1299|B1253|B1300|B1260|B1291|B1325|B1336|B1245|B1297,B1796|B1765|B1766
G145_143_144,B1248|B1250|B1304|B1293|B1766|B1799|B1330,B687|B1429|B1886|B2040|B1874
G147_145_146,B2026|B1886|B1251|B1264|B2040|B1874,B1995
G149_147_148,,B1720|B710|B1766|B919
G152_150_151,B560|B1919|B1918|B1917,B1460|B647|B645
G154_152_153,B1450|B1454|B1444|B1436|B1287|B1426|B1470|B1290|B1286|B1453|B1455|B1443|B1433|B1451|B1435|B1430,B1456|B687|B1810|B560|B605|B1811|B606|B1808|B686|B692
G156_154_155,B1818|B1449|B1434|B1447|B1304|B1293|B1452,B1993
G158_156_157,B647|B1820|B1464,B1720|B1247
G160_158_159,B1923|B1431|B1921|B1924|B1432,B1796|B647
G161_149_160,B1289|B1456|B1331|B1272|B1460|B1993|B594|B592|B1305|B1429|B1283|B1332|B911|B1269|B1317|B1306|B1811|B1315|B1307|B1995|B1288|B1328|B1316|B1247|B910,B904|B894|B893|B1845|B557|B12|B1859|B1860
G163_161_162,B904|B1333|B894|B1810|B893|B1271|B1312|B1845|B583|B1808,B1967
G165_163_164,B561|B431,B904|B608|B1992|B1283|B1865|B497|B1845|B583
G166_138_165,B1720|B1766|B480|B762,B1068|B1725
G169_167_168,B1096,B657|B647|B645|B1746|B658|B1748
G171_169_170,B477|B1073|B1095,
G173_171_172,B1087|B1100|B1748,B477|B919
G175_173_174,B1752|B1074|B1075|B1746,B1967
G177_175_176,B1092|B1085|B1082|B1751|B1174|B1112,B904|B1725|B1283|B1279|B1845
G180_178_179,B1018,
G182_180_181,B1025|B1012|B1057|B1893|B1004|B1003|B1894,B687|B1090|B884|B1283|B1966|B1282|B1279|B1845|B1106|B686
G184_182_183,B1013,B904|B1115
G186_184_185,B636|B1966|B1282|B1005,B608|B605|B647|B606|B645|B692|B1967|B919
G187_177_186,B1044|B1035|B1007|B1027|B594|B1115|B592|B1036|B1033|B1031|B1063|B1106|B1043|B1022|B1045,
G189_187_188,B561|B1090|B1067|B1030|B431|B1062,B1796|B1992|B1765|B1282|B1865|B1859|B1860
G190_166_189,B882|B1068|B497|B686|B585|B436|B1967,
G193_191_192,B1904|B1905|B12|B1907,B882|B884|B1237|B1236
G195_193_194,,B12
G197_195_196,B1784|B1237|B1236|B585,B1514
G199_197_198,B1781,B1992|B1938|B1312|B1315|B1865|B585
G201_199_200,B1908|B1786|B1789|B1312|B1212|B1787|B1315|B1909|B583|B431,B1725
G204_202_203,,B687|B1233|B658|B431|B686
G206_204_205,B1931|B1504|B1933|B1937|B1506|B1505|B1932|B1935|B1500|B1515,
G208_206_207,B1527|B1525|B1509|B1501|B1508|B1503,
G210_208_209,B1502|B1519|B1532|B2027|B1533|B1538|B583|B431|B1524|B1528|B1529,B1992|B1865
G211_201_210,B561|B1512|B1226|B1940|B882|B1242|B1208|B1938|B1514|B1239|B1233|B1216|B1523|B1539|B1224|B1220|B686|B1215|B585|B1228|B1513,B1796|B904|B608|B477|B1283|B1765|B605|B1282|B1279|B606|B1845|B21|B479|B476|B1859|B583|B1860|B692|B433|B547|B919
G212_190_211,B50|B1992|B1725|B442|B1865|B12,B1384|B1068|B1766
G215_213_214,B2134|B522|B2158|B1315|B2143|B2159|B2142,
G217_215_216,,B522
G219_217_218,,
G221_219_220,B2130|B2163|B2155|B2145|B519|B2353|B2160|B2156|B2180|B2132|B2140|B509|B2124,
G224_222_223,B2457|B2455|B2452|B2456|B2454|B2451,B561|B2168|B882|B510|B884|B1312|B560|B522|B527|B2139|B557|B2199|B547
G225_221_224,B561|B882|B884|B1312|B560|B522|B2151,B509
G228_226_227,B2419|B2422|B2417|B2418|B2421|B2420,
G230_228_229,B2182|B2181|B2183|B2195|B2188|B2194|B2189|B2196|B2208,B519|B2147
G232_230_231,B2211|B2193,B2029
G234_232_233,B561|B2029|B519|B560|B522|B2185,
G235_225_234,B2173|B1188|B2168|B2153|B592|B2174|B2203|B2139|B2210|B2147|B2199|B2200|B2201|B2172,B608|B882|B884|B605|B606|B692
G237_235_236,B882|B594|B563|B606,B1283|B522|B1282
G239_237_238,B1282|B2165,B1384|B1765|B519|B560|B1766|B1859|B1860|B919
G242_240_241,,B510|B519|B1863|B919
G244_242_243,B2306|B2313|B2305|B2304|B2312|B2309|B2291,B2378|B2377|B2379|B2380|B2381
G246_244_245,B2382|B2383|B993|B2311|B2307,
G248_246_247,B2310|B2378|B2377|B2299|B2385|B2301|B2379|B2380|B1820|B2381,
G250_248_249,B2323|B1738|B2314|B1863|B2316|B2317|B2294|B2296|B2298|B2320|B2324|B1995|B2295|B2297|B2318|B1176|B2322,B2247|B2235|B2239|B2469|B557|B2387|B781|B547
G252_250_251,B561|B2247|B2235|B882|B2239|B2469|B563|B2321|B2387|B781,B1732|B608|B710|B1283|B605|B692
G253_239_252,B2175,B1796|B904|B687|B563|B1282|B1279|B606|B1845
G256_254_255,,B1732|B2326|B608|B2102|B1287|B605|B606|B1845|B1288|B1731
G258_256_257,B2084|B2071|B657|B2091|B2076|B2082|B2074|B519|B2102|B1287|B2079|B2042|B2391|B2072|B2395|B2394|B2078|B2087|B2393,B974|B2119|B973|B1848
G260_258_259,B974|B2090|B2083|B2326|B2070|B973|B2075|B2077|B2073|B2089|B2081|B2085|B2080,B2447|B657|B2444|B2445|B2449|B519|B2450|B2448|B1859|B1860|B2446
G262_260_261,B2060|B2064|B2059|B2069,B904|B893|B2442|B2317|B2328
G264_262_263,B1289|B2447|B2045|B2444|B2445|B2449|B2317|B2396|B2450|B2054|B2448|B1288|B2446|B1697,B710|B987|B2111
G267_265_266,,
G269_267_268,B2401|B2407|B2403|B2405|B2102|B2411|B2096|B2409,B647|B645
G271_269_270,B2105|B2114|B2098|B2107|B2113|B2110|B2106|B2109|B2112|B2104|B2108|B2344,B904|B2442
G273_271_272,B2408|B2406|B2115|B2340|B2404|B2402|B2117|B2400|B2100|B2414|B2336|B2341|B2412|B2410,B1796|B893|B1283|B1765|B1766|B1282|B1848|B1279|B1845|B1859|B1860|B2023
G274_264_273,B2334|B2055|B2092|B2048|B2049|B2330|B1156|B2056|B2119|B2338|B2343|B2332|B987|B1312|B2442|B1863|B2063|B2047|B2335|B2052|B2058|B2337|B2061|B2331|B1315|B2093|B1728|B2328|B2067|B2068|B2339|B2118,
G276_274_275,B894|B882|B893|B560|B1848|B509|B686|B1731|B2111,B583|B585|B547
G279_277_278,,
G281_279_280,B2283|B2285|B2280|B2275|B2290|B2288|B2434,B2376|B2375
G283_281_282,B2286,B2390|B2472|B2471|B2468|B2467
G285_283_284,B2276,B2389|B1852
G288_286_287,,
G289_285_288,B594|B592|B2472|B2375|B2471|B2468|B2467|B2289,B1851
G291_289_290,B2390|B2376|B2389|B1852|B560|B509|B1851|B781,B1796|B1732|B904|B657|B687|B608|B710|B884|B1283|B1765|B1766|B605|B1282|B1279|B647|B606|B645|B1845|B658|B1859|B1860|B2023|B630|B919
G292_276_291,B561|B2023,B1384|B1068|B560|B509|B692
G293_253_292,B1732|B585,B499|B477|B491|B467|B444|B21|B479|B456|B476|B433
G294_212_293,B1796|B687|B608|B710|B647|B557|B1859|B583|B1860|B692|B547|B919,B50
G297_295_296,B1160|B1167|B1171|B1174|B1123,B1283|B1282|B1279|B1845
G299_297_298,B1191|B1180|B1206|B1159|B1190|B1204|B1181|B1197|B1199|B1900|B1897,B1754|B1765|B1766|B479|B1174|B1755
G301_299_300,B1170|B1768|B1198|B1172,B1980
G303_301_302,B1151|B1186|B1200|B1168|B1177|B1770|B1149|B1195|B1125|B2024|B1155|B1755,B904
G306_304_305,B1976|B1989|B1970|B1972|B1986|B1979|B1983|B1969|B1984|B1981|B1987|B1975|B1974,B1156|B884|B1283|B1765|B1766|B1282|B1279|B1845|B479|B1174|B1176
G307_303_306,B561|B1147|B1188|B1152|B1156|B1126|B882|B1130|B1148|B1139|B1754|B1205|B1133|B1978|B1899|B1174|B1127|B1145|B1980|B1194|B1176|B1137,B657|B1384|B1068|B605|B467|B606|B645|B658|B21|B433
G308_294_307,B904|B50|B477|B1283|B1765|B1766|B1282|B1279|B1845|B479|B476,
G311_309_310,B563,
G313_311_312,B1425|B1913|B1485|B1338|B1365|B1914|B1915|B1352|B1916|B1410,B1804|B563
G315_313_314,B1424,
G317_315_316,B1486|B1354,
G319_317_318,B1804|B1351|B510|B563|B1413|B1368|B1344,B1492|B605|B606|B1637
G322_320_321,,
G324_322_323,B1621|B1640|B1623|B1618|B1627|B1620|B1629,B1340|B1341|B1835
G326_324_325,B1641|B1638|B510|B1626|B1643,B605|B606
G328_326_327,B1644|B563|B1636|B1631|B1632|B1835,B1391|B657|B1362|B1393|B645|B658
G329_319_328,,B510|B563
G332_330_331,B1925|B1407|B1928|B1926|B1929|B1930,B1485|B657|B1486|B1497|B1410|B1496|B645|B658|B431
G334_332_333,B1485|B1499|B1486|B1497|B1493|B1410|B1496|B1481|B1498|B1472,B1407
G336_334_335,B1480,
G338_336_337,,
G340_338_339,B1474,B605|B606
G341_329_340,B1404|B1340|B1378|B1350|B1391|B1360|B1380|B1492|B1407|B1415|B1399|B1341|B1394|B1362|B1349|B1393|B1403|B1374|B1483|B1390|B1637|B1409,
G343_341_342,B561|B1377|B50|B882|B1359|B1312|B1381|B1373|B1379|B1371|B1406|B1383|B431,
G344_308_343,B499|B657|B1384|B1068|B510|B884|B563|B519|B560|B522|B527|B605|B491|B467|B444|B606|B645|B509|B658|B21|B456|B630|B433,
G347_345_346,,
G349_347_348,B130|B140|B128,B327
G351_349_350,B199|B139,
G353_351_352,B204|B327|B207|B198,
G356_354_355,,
G357_353_356,B152|B197|B132|B189|B155|B172|B138|B195|B137|B196|B205|B143|B180|B170,B340|B341
G359_357_358,B174|B171|B181|B164|B193,B233
G361_359_360,B146|B194|B165|B340|B190|B148|B341,
G363_361_362,B187|B186,
G366_364_365,,
G368_366_367,B50|B216,
G370_368_369,B208,B50
G372_370_371,B265|B209,
G375_373_374,,
G376_372_375,B217|B214|B255|B210|B264|B252|B215|B212|B242|B223,
G378_376_377,B218|B213|B231|B220|B253|B254|B263,
G381_379_380,B377,
G382_378_381,B245|B259|B222|B250|B229|B211|B232|B261|B249|B225|B257|B227,B75
G383_363_382,B144|B178|B233|B157,
G387_385_386,B375|B371|B374,B58|B113|B21|B338
G391_389_390,B324,
G393_391_392,B319|B353|B318|B352|B268|B271|B323|B317|B280,
G395_393_394,B322|B276,
G397_395_396,B272|B282|B321|B270|B304|B278|B285|B291,B369
G400_398_399,B337|B334,B50
G401_397_400,B283|B300|B275|B274,
G403_401_402,B287|B301|B294|B306|B369|B293|B284|B313,B90
G406_404_405,B357|B360|B354|B355|B356,
G409_407_408,B363,
G415_413_414,B347|B349|B346|B345|B348,
G416_412_415,B2|B126|B1|B118|B119|B121,
G417_411_416,B325|B127|B29,
G418_410_417,B123|B116|B122|B125,
G419_409_418,B124|B43|B35|B92,
G420_406_419,B9|B56|B36|B6|B44,
G421_403_420,B41|B5,B338
G422_388_421,B85|B94,B344
G423_387_422,B82|B90|B88|B21,
G424_384_423,B70|B112|B58|B69|B113|B78|B12|B344|B338|B39|B77,
G425_383_424,B50|B62|B75,
G426_344_425,,
